userName,score,at,content,type
Atifa Kai (Kai),5,3/23/2024 0:26,"Overall game ini bagus banget story nya menarik tapi kadang kalo ada cutscene suka patah patah tapi dari gameplaynya, grafik udah bagus kekurangannya cuman patah patah dan kalo di mainin kurang lebih 2 jam hpnya jadi panas but overall game ini bagus kok",Positif
Andika Pratama,4,3/7/2024 1:24,"Saya suka game ini.dari segi gameplay,detail karakter,tampilan grafik,dan yang paling penting game ini ramah untuk palyer f2p kayak saya.intinya ini game sangat cocok untuk dimainkan di waktu luang,soalnya gameplay-nya yang simpel dan nggak bikin pusing terusjuga untuk sistem gachanya udah ok walaupun agak Susah tapi kalo menurut saya itu udah ok sih.untuk kekurangannya tolong kestabilan jaringan dan untuk farming relicnya di permudah.itu aja dari saya,thanks.",Positif
Ganyu,4,3/16/2024 10:10,"Gamenya seru banget.Ceritanya yang agak bingung tapi seru(karena sering skip,hehe)pokoknya seru dah.Tapi,hp ku ga kuat.Padahal hp Masi baru,udah gitu ram 16.Pas main make grafik tinggi aja udah patah²,jadinya saya make yang grafik sedang.Kasi penjelasan dong kenapa kok masih patah²?Terima kasih.",Positif
Abd Rahmat,4,3/20/2024 23:29,"Entah kenapa kadang kadang ada animasi yang ngebug, mungkin gara gara device saya. Tapi saya kurang nyaman kalau memainkannya apa lagi ketika saya memainkan misi di dunia mimpi, saya stuck di peluncur bola. Mohon untuk di perbaiki",Positif
True Sky Ace,5,2/12/2024 15:54,"grafisnya yang memukau, gameplay yang seru, dan cerita yang mendalam. beragam karakter dengan desain yang menarik dan kemampuan unik. Sistem pertarungan yang strategis dan banyaknya konten juga membuatnya menarik untuk dimainkan. Overall, Honkai Star Rail menawarkan pengalaman gaming yang memuaskan dan layak dicoba.",Positif
Aryasatya Wicaksono,3,2/20/2024 1:45,Game ini sudah bagus tapi memiliki beberapa kekurangan misal cutscene dalam game tiba-tiba menjadi patah patah dan juga tiba-tiba dalam awal pertarungan mengalami crash atau force close sebelum update 2.0 tidak pernah terjadi crash sebelumnya. Dalam game ini mungkin bisa ditambahkan fitur login perbulanan buat player gratis.,Netral
Damo Ecle,3,2/23/2024 3:36,"Secara overall gamenya bagus hanya ada bug dimana game crash secara konstan ketika mengubah setting grafik dari very low ke very high. Sebelumnya saya memainkan dengan setting very high tidak memiliki masalah apapun, namun ketika saya mencoba untuk mengubah setelan grafik dari very high ke very low game saya akan crash sesaat ketika masuk dan saya tidak bisa berbuat apa-apa.",Netral
dewi karsel dekarsel,5,2/6/2024 0:54,"Saya bukan pecinta game, tapi ketika saya coba² download game ini.. aku jadi suka game. Tampilannya suka banget aku, karakter, cerita nya, dan baru masuk udah dikasih hadiah.. kekurangan nya game ini harus dipasang di hp yg ram nya 4 ke atas.. kalo enggak bakalan ngenlag parah..",Positif
Azka Zakiyyan,4,3/5/2024 22:09,"Game nya emang bagus tapi masih cukup berat untuk game turn based open world yang tidak terlalu bebas seperti genshin banyak masalah seperti saat jaringan kita itu jelek dan itu saat kita sudah selesai pertarungan layar jadi hitam dan itu harus relog lagi game nya, lobi game terlalu berat di banding genshin, saya harap game ini update selanjutnya bisa lebih optimal lagi untuk spek hp menengah",Positif
Yasmin Najwa,4,2/26/2024 10:39,"Untuk game nya bagus, seruu lagi. Ga pernah bosen main ini game. Tapi minusnya cuman satu, gabisa mabar/ Co-op 😭. Semoga next update ada mode Co-op/mabar. Tapi temen kita gausah ngebantu apa apa, kayak cuman main main aja gituu, siapa tau bisa bikin konten hehee. Kayak punya server sendiri buat Co-op/mabar, biar seru aja. Pliss mihoyo adain mode Co-op di honkai",Positif
Muhammad Nagif,5,3/13/2024 13:30,"Game bagus dan menarik dari segi grafik dan detail karakter yang baik, cuma untuk misi tolong developer ditambahkan lebih banyak supaya g bosen sambil nungguin sambungan story nya",Positif
Fela Madiun,5,3/11/2024 9:30,Walaupun game ini offline setidaknya bisa dapat banyak hadiah dari menyelesaikan quest menurutku cocok kalo di kasih bintang 5 tapi kalo mau download data seharusnya bisa di tunda dulu karena datanya banyak dan bisa boros baterai mohon ditambah fitur baru dari download data🙏🙏,Positif
WindTrash,4,1/23/2024 13:52,"Semua mekaniknya bisa dikemas rapi dan unik, salah satu contohnya itu sistem role dan elemen yang berbeda dari game turn based lain, itu merupakan hal paling gua suka dari game ini. Cuma kekurangannya satu, gak ada tombol skip dialog cok! Kalo ngerjain side quest yang numpuk, bosen+ngantuk pas bagian dialognya. Kalo bisa tambahin lah tombol skip dialog, seenggaknya di side quest ditambahin lah jadinya kalo login cuma mau ngerjain side quest tuh gak makan banyak waktu.",Positif
Anisa Ari T,4,2/2/2024 9:12,"Addicted banget sama game ini, gameplaynya cocok buat diriku yang gak begitu pengen ribet intinya gampang dipahamin. Kurangnya cuma satu, tolong developer kasih TOMBOL SKIP DIALOG 😭 kadang ada dialog yg harus tunggu selesai baru bisa di next, ada yg bisa langsung di next. Mungkin salah satu improvementnya itu ya. Soalnya ada juga yg kayak aku fokus di gamenya, bukan storynya karna panjang banget yg ada selama main waktu habis di story doang 😭",Positif
azzam haidar,4,2/25/2024 8:59,Story ok character juga ok overall aku suka sih sama game ini kalo bisa tambahin tombol skip dialog biasanya ada dialog yang lama bgt tapi harus nunggu dialog nya sampai selesai tapi overall game nya bagus dan aku suka dan masih ada beberapa bug yang belum di fix semoga di fix ya😁,Positif
Pur Endri,2,12/27/2023 6:46,"saat Cutscene fps tiba"" drop,ntar itu masalah jaringan/server/device saya sendiri,tapi saat bermain game sebelah yaitu ""genshin impact"" yg mana game itu lebih berat,saat Cutscene nya tidak ada frame drop sama sekali. jadi jika ini adalah kesalahan dari pihak developer/server semoga cepat di perbaiki.sekian terimakasih",Negatif
JuliRSmh,3,2/29/2024 13:26,"Seru gamenya mint,animasi bagus,kontennya banyak,tapi cutscene hampir semua ngeleg parah ampe suaranya annoying banget kalo pake headset,please banget segera difix atau kasih solusi capek uy kadang story udah masuk dalem bikin mood ilang",Netral
FARIZ44,3,2/29/2024 11:49,"ini entah bug atau memang renderingnya yang bermasalah, ini bukan patah2 lagi, bahkan sampe force close terus menerus, prasaan saya main minecraft genshin impac dan game2 berat lainnya lancar2 saja, masa main game ini yang hanya sekitar 2-3 GB saja kaya berat banget.",Netral
Stenly Gunawan,5,3/13/2024 10:33,"Gameplay dan story benar' sangat bagus, new player/pemain baru sangat diperhatikan oleh developer agar dapat bermain dan mempermudah mendapatkan karakter yang disukai oleh palyer, saya berharap kedepannya dan seterusnya developer Honkai Star Rail lebih meriah dan memberikan hadiah spesial bagi para semua pemain agar tetap setia bermain, dihari perilisannya berharap diberikan hadiah spesial berupa karakter choice atau tiket gratis dengan menyelesaikan mission.",Positif
Sux .,5,3/17/2024 11:12,"SERU BANGET😭 KUKASIH NILAI 1000/100 BUAT GAME INI,dimulai dri desain karakter yg bagus2,desain map jg bgs, map luas bs pindah sana sini,cutscene jg bagus, npc jg cukup oke,story menarik, ada teka tekinya jg itupun ga trllu rumit,clue teka tekiny jg mdh dipahami,maen game yg ad teka tekiny yg agk rumit tuh klo bs kelarin teka tekiny sndirian tnp bntuan rasany lega bgt,ni game bagus bgt smpe bingung gua mw blg kekurangan dri game ini😭yg suka game story puzzle,kalian harus coba,sebgs ini cma 15gb",Positif
Aulia Ardila Rahmadini,5,3/6/2024 23:23,"Orang pada ngeluh update dimana game jd ngecrash dan sejenisnya, tapi menurutku gk ada masalah selama aku bermain di patch terbaru, grafik ultra lancar jaya, aku juga suka dengan konten di update sekarang dan terimakasih untuk Acheron E3 nya yg kudapat dr tiket gratis",Positif
A. Zakariya Septiadi,5,3/4/2024 13:03,"Untuk gameplay dan grafis sangat bagus dan juga desain karakter nya juga sangat bagus, cuma untuk mendapatkan karakter Bintang 5 itu sangat sulit jadi tolong dipermudah untuk mendapatkan karakter bintang 5",Positif
Syifa Auliasari,4,3/22/2024 7:16,"Dari segi story bagus keren apalagi pas adegan perang nya,tetapi kenapa kadang pas pengen naikin level karakter tiba2 ngfreeze?,gatau kenapa tiba2 ngfreeze sendiri,kadang kesel tiba2 ngfreeze:(",Positif
Zaskia Ramadani,2,3/14/2024 4:11,Sebenarnya untuk game play nya bagus hanya saja semenjak update 2.0 sering sekali terjadi bug dan ngefreze juga patah patah mohon untuk segera di perbaiki,Negatif
Saiful Bahri,4,2/24/2024 14:42,"Hoyoverse Saya ada sedikit saran untuk patch 2.1 nanti, yaitu adalah mengubah animasi ultimate Seele yang seperti animasi ultimate karakter bintang 4 bukan seperti karakter bintang 5 lainnya seperti Black Swan, Jing Yuan, Argenti dan lainnya. Jadi tolong ubah atau perbaiki animasi ultimate Seele🙂",Positif
Sahara Septiana,2,3/22/2024 21:30,"Saya sudah mendownload data aplikasinya yang terjadi selanjutnya adalah loading screen yang tidak kunjung habis saya telah menunggu 30 lebih lamanya namun tidak terdapat perubahan, internet saya pun stabil, apakah memang seperti ini? Atau tidak?",Negatif
Sectio Angger,4,2/27/2024 23:41,"Kenapa ya, akun saya tiba-tiba hilang, biasanya akun hoyoverse ada riwayat loginnya, ini tidak ada (hilang) udh dikaitin ke fb dan Google pun kalau masuk lagi malah ngulang ke prolog cerita... Mohon bantuannya pihak game 🙏🏻",Positif
Finally Z,1,3/14/2024 8:34,"Bintang satu untuk versi sekarang,setiap pertempuran hp sering mengalami freeze dan tidak bisa pulih membuat saya harus relog lagi. Hal ini terjadi pada teman saya juga, dia juga mulai mengalami hal ini di versi sekarang, diversi sevelumnya kami tidak pernah mengalami hal ini. Semoga pihak hoyo segera memperbaiki masalah ini!!!!",Negatif
Ucing_ Oreen29,1,3/18/2024 15:52,Ngabisin data doang ini mah tiap kali download data ampir 1GB pasti keluar sendiri pas masuk lagi eh malah ngulang lagi dari awal dan sekarang makin ngelunjak padahal saya sudah ngorbanin beberapa apl dan video yg mau saya edit (ini yg kedua kalinya saya download ni apl moga² berhasil tapi tetap gagal juga 😩) lain kali saya coba lagi moga² berhasil karena kuota saya sekarat 🙏,Negatif
nano nina,1,3/20/2024 16:32,"terdapat bug login yaitu jaejngan berputar terus padahal untuk melakukan apapun lancar. sudah mencoba beragam koneksi tetapi sama saja, hanya stuck loading login",Negatif
FALL,1,3/18/2024 1:05,"Kekurangan dalam honkai star rail tidak banyak,tapi tolong di perbaiki masalah cut scene yang sering kali terjadi frame drop,",Negatif
Satria new Game,5,3/10/2024 8:58,"Permisi untuk pihak developer. Tolong perbaiki bug yang terjadi di device saya yang dimana bug tersebut terdapat suara yang mengganggu saya saat menikmati scene cerita yang diberikan Edit: (mantap lur game baik, full senyum)",Positif
Reta Purba,1,2/25/2024 8:47,"Game ini berbeda dengan genshin impact. Meskipun akun gw jarang lucky gachanya dan ada fitur auto battle, tapi setiap update selalu ada free 10 pull dan stellar jade saat nonton livestream. Size game gede. Konten end game sangat susah bahkan low spender + player lama juga masih kesulitan. Karakter baru selalu overpowered dan entah kapan general jing yuan rerun. Tapi developer janji memberikan 1 karakter b5 terbaru secara gratis, ini lah alasan saya main lagi. Banyak minus lain tapi ya sudahlah.",Negatif
Angga Adi Sabowo,1,3/21/2024 14:22,"Developer tolong dong perbaiki, saya login selalu ""terlalu banyak meminta, coba lagi sesaat"" Error kah server nya?, bantu Developer untuk kasih solusi atau perbaikan gamenya",Negatif
Idris Maulana,3,2/18/2024 19:12,Saya sebagai pemain yang baru bermain blm sampai 2 Minggu apa benar untuk kapasitas totalnya sampai 18gb? Dan setelah saya download full masalah dari pemutusan server dan sering keluar sendiri itu membuat saya gak nyaman bermain mohon developer dicek dan diperbaiki,Netral
Muhamad Rantau Gangga Wiguna,5,2/26/2024 7:29,"Saya menulis untuk melaporkan masalah yang saya alami ketika mencoba masuk ke akun saya di Honkai Star Rail. Meskipun mencoba jaringan yang berbeda, saya masih tidak dapat mengakses akun saya. Saya sudah memeriksa koneksi internet saya dan mencoba beberapa langkah pemecahan masalah, namun sayangnya, masalah masih berlanjut.",Positif
Muza Mazin,4,3/5/2024 6:53,"Game ini sangat memuaskan saya. Tapi entah kenapa sekarang ini sering ngebug game nya tiba-tiba gambar nya hilang dan nyangkut serta tidak bisa di pencet, sekian dari saya tanks mihoyo.",Positif
Dylan Zheng,5,3/22/2024 10:54,Saya sangat suka sekali gameplay game ini. Sangat seru saat bertarung dan juga terdapat banyak sekali hadiah untuk pemula dan juga Sepuh. Terimakasih Hoyoverse untuk membuat game ini. FYI:Saat kita download game ini kita bisa mendapat 5 star gratis yaitu dr ratio. Saya menggunakan Handphone Redmi note 12 dengan chipset snapdragon 685 dan ram 8 gb,Positif
Febrian Pratama,3,3/1/2024 6:26,Game sampah bug dimana-mana untuk handphone dari blackskren terus stuk chat NPC quest. Mending tutup dulu dan benerin. Semakin lama main semakin banyak ketemu bug. 1 bulan gak dibenahin dalam waktu 3 bulan setelah OBT yakin bakal clossing.,Netral
Ferize,3,3/11/2024 22:01,"Gameplay mulai terasa membosankan, saya suka dengan ceritanya & bersemangat untuk memainkannya, tetapi tidak berlangsung lama, setelah semua cerita selesai game ini terasa membosankan, yang ada hanya farming farming dan farming...",Netral
Akun kedua Grisa2312,3,3/14/2024 23:04,"Game nya ga ngebosenin, tapi tingkat buat dapetin bintang 5 nya bisa dinaikin ga min? Saya capek ngumpulin Stellar nya eh dapetnya bintang 4 mulu, bintang 5 nya dapet yg standar, tolong ya min, gw bener bener minta tolong.",Netral
Hamizan Jaris,5,3/13/2024 5:57,Bagus sekali gamenya disarankan menambahkan event dan story sangat bagus 👍 pokoknya jangan lupa main game honkai star Rail jangan sampe kelewatan event disayangkan sekali jika tidak mendownloadnya karakternya juga mantap 😋,Positif
bintang azura,5,3/11/2024 20:11,"Game nya bagus dari segi grafil,story,char,dan gameplaynya. Tapi, satu pesan ""lu jangan bikin gw nangis mulu hoyo, waifu gw di jadiin mayat kambenk T^T""",Positif
Budi Lakukua,4,3/14/2024 16:23,"Game terbaik dengan banyak mini game di dalamnya. Cuman karakternya masih sedikit, mau dapat karakter yang diinginkan harus menunggu beberapa bulan",Positif
Varlan Arvanda,5,2/26/2024 3:53,Game nya bagus. Karena game nya bertema Turn Base. Jadi lebih santai saat bermain. Untuk keseluruhan map sudah cukup luas. Teka teki didalam game cukup seru.,Positif
Tabibito Susucoklat enak tau,3,3/21/2024 7:28,Males banget ada bug setiap masuk ke tantangan keluar nya pasti gak bisa gara gara proses 30100 males banget males berin dong min males jadinya kalau main atau nyelesain quest waktu masuk ke catals juga sama stack terus mucul angka 30100,Netral
Mia Shu,1,2/26/2024 18:54,Gw baru kali ini kesal banget. Selama ini masih toleransi tapi update kali ini terparah. Kenapa pas mau masuk Echo of War dan misi penacony selalu game crash? Nge lag begitu. Tiba-tiba sinyal hilang terus. Gw cek main mlbb kok lancar bgt. Nonton yt ok. Nonton anime di apk vidio masih ok. Buka apk x masih lancar. Whatsapp juga tak matikan notifikasi. Aplikasi game cuma 2. Notifikasi apk semua mati. Ga ada yg nelpon. Sinyal wifi indihome ok. Ga ada hujan ga ada petir lah ini kenapa anjir. Why?,Negatif
fadjar suryandarumulya,2,3/15/2024 4:41,"data penyimpanan akun tidak tersimpan setelah aku menghapus game ini level sudah jauh malah mulai dari awal , aku memainkan game ini aku pakai akun yang sama capek main game ini membuang waktu alur cerita yang setengah membonsankan😪👎",Negatif
Putri Anisa Rahmi TBI,4,3/20/2024 10:57,"Layarnya masih sering kebelah gitu (layarnya langsung kacau ga bisa ditekan apa2, bukan layar bagi yang bisa pakai 2 aplikasi sekaligus) gatau kenapa, bisa karena baru update atau ada kesalahan sistem HP 😔",Positif
Riku Sankyuu,5,3/23/2024 13:05,"Game nya bagus dan cocok buat yang mageran buat explore game nya wkwkwk, sistem permainan juga simpel dan cerita menarik bansos juga banyak. Sehat sehat game baik",Positif
Fergan Cok,5,2/28/2024 15:52,"Kenapa ya setelah update patch 2.0 sering sekali terjadi stuck di animasi skill atau pun ultimate padahal sebelum patch kali ini tidak pernah stuck, tolong di perbaiki dong",Positif
Ali Ubaidin,3,3/10/2024 14:13,Game nya sudah bagus tapi sayangnya pada saat download Data nya lag parah padahal wifi dirumah masih lancar tolong diperbaiki lagi ya agar tidak menghambat permainan,Netral
Ridwan Wasabi,4,3/22/2024 2:28,"Game sangat seru. Hanya saja entah game terlalu berat sehingga belum lama dimainkan, suhu HP sudah sangat panas. Meskipun game dijalankan dengan grafik yang sangat rendah.",Positif
Kariim Jafarrasiq Nara Pernama,5,2/14/2024 5:21,"Gim baik, tapi game turn base gacha tuh emg berat karena yang namanya turn base itu pasti musuhnya bermacam² tipe, nah buat nye imbangi lawan musuh² jadi perlu tipe yang sesuai dan caranya ya gacha character wkwkwk.",Positif
Jessica Putri,5,3/4/2024 3:43,Udah and game nuggu episode yg ke dua..bosen tiap hari jalanin quest aj..alur cerita kelanjutan serta misi udah berhenti belom lawan whactmaker nuggu episode yg ke dua..kpn rilis nya..kekurangan dari game ini terlalu bnyak gobrol nya..gk ada tombol skip..serta harus nuggu 1 miggu sekali cari drop item bos..itupun cuma di batasin 3x gk sebanding dengan carakter yg hampir 25 an..apalagi mau roll gonta ganti karater harus lv up skill semua butuh 1 miggu itu pun cuma satu carakter yg bisa,Positif
Eagle Dark,1,3/6/2024 4:45,"Semenjak update 2.0 jadi sering ngefreze saat battle,sama kadang kadang juga force close sendiri, padahal udah rata kiri, sedangkan Genshin dengan grafis medium atau bahkan tinggi masih lancar saja",Negatif
Gikku Kopakki,2,3/11/2024 10:40,"Banyak bug/crash dalam game padahal sinyal bagus sama kapasitas memori masih banyak, tolong lah di benerin bug² nya biar tambah nyaman mainnya.",Negatif
BLOOOF,5,2/25/2024 23:31,"Game nya sangat seru,explorasi tidak terlalu susah,puzzle nya trap nyaman untuk di mainkan meski kadang bikin bingung,lore mungkin lebih di perjelas siapa antagonis nya? Hadiah gratis dri setiap patch&update benar"" sangat membantu kami para player,saya menantikan anniversary pertama HSR~",Positif
Pentamof,3,3/6/2024 5:03,"Kenapa terasa lebih berat ini daripada genshin, padahal secara gameplay genshin lebih berat, namun di hp saya lancar, di hsr malah lebih sering framedrop, tolong diperbaiki apalagi saat di loading screen kereta, lag parahhh",Netral
Muhammad Taufik,4,3/6/2024 1:16,"Saya cukup suka Game Honkai Star Rail ini, hanya saja saya ingin bisa menguraikan relic yang sudah memiliki penguatan tidak harus lv 0 saja yang bisa diuraikan. Buat pemain pemula saya rasa ini pepengaruh karena kita bisa aja asal menaikan relic yang tidak diperlukan. Saya ingin bisa mengatur penyimpanan relic dengan baik yang memiliki batas penyimpanan 1500.",Positif
Gracio Kiryoma,3,3/7/2024 14:52,"Bagus game nya tapi ini masalahnya nih di update data nya ulang ulang, tadi udah bisa main tapi di pindah kan ke update data mulu gk abis abis",Netral
Daffa Fauzan Rahmatyar,4,2/12/2024 0:03,"setelah update penacony 2.0. game nya jadi lebih berat, bahkan jadi sering forced close. apalagi ketika animasi memasuki battle. tolong lah hoyo, diperbaiki",Positif
Khalifah Lubis,4,2/22/2024 14:22,"Permisi, ada alasan mengapa saya memberi bintang 4 hal ini dikarenakan adanya bug yang dimana setelah saya mendapatkan karakter bintang 5 (bailu) dan mencoba trial, saat di pilihan karakter, karakter bintang 5 (bailu) tidak ada disana, saya sangat mohon untuk pihak honkai star rail dapat merespon, agar player lain tidak mengalami hal yang sama. Terimakasih",Positif
ferdinan rahman,1,2/6/2024 22:17,Sistem relic yang buruk (sudah 1 bulan kurang lebih farm relic untuk argenti tapi yang jadi hanya kepala dan badan itu pun belum maksimal 240 trailblazer power itu masih kurang kah untuk 1 hari?) dan synthesis khusus relic yang sangat tidak berasa (3000+ relic remains gak ada satu pun yang mengarah ke cr atau cdm untuk karakter dps),Negatif
Pahan K,5,3/2/2024 9:39,"gameplay santai,animasi keren abis,story mantap,developer sangat murah hati dalam memberikan bansos menjadikan game ini ramah untuk f2p,kek beneran mengapresiasi playernya yang udah spend time main game mereka. game yang sangat mantap untuk orang yang bosen dengan gameplay mainstream. kekurangannya mungkin gamenya bisa lebih dioptimized lagi karena untuk ukuran game turn based ini lumayan berat,hampir kek genshin impact. ganyesel pokoknya main ini game. i love you game baik",Positif
Ayla Azzura,4,12/27/2023 0:51,"Suka banget sama game nya, alurnya bagus, apalagi grafisnya, wuuuh jooos banget. Cuma kalau bisa di permudahkan lagi cara dapat karakter bintang 5 nya dan juga saya agak kesulitan untuk menaikkan level krn biaya cradit nya semakin mahal dan mengumpulkan material memakan waktu yg lama. Ini kalau di stasiun herta punya saya kok ada beberapa tempat yg agak kaku gitu jalannya(agak lemot) apa gara"" HP saya ya? Perasaan memori internal masih banyak loh🥲",Positif
Septiyar ahya moslem,3,3/21/2024 23:36,Saya ada keluhan sedikit sya tidak bisa login hsr ada pesan khusus pesan eror distribusi global jaringan saya disini bagus dan stabil tapi tetap tidak bisa login,Netral
No NAME,3,3/12/2024 10:56,Frame drop pas awal masuk di animasi luar angkasanya + tambahin fitur skip dialog kek game2 lain nungguin dialog selesai karena ngebug gak bisa dipercepat,Netral
Annisa ShinTyas,4,2/29/2024 17:35,Gamenya baguss banget tapi kenapa dihp saya ada glitch atau bug ya? Langit-langitnya jadi aneh gitu padahal kalo main genshin selalu lancar..,Positif
22. Rizki Kusuma,3,12/29/2023 6:16,"Diawal perilisan game ini emang lancar mainnya. Cuman pas di update yg terbaru alias di update Silver Wolf ini entah kenapa jd agak berat terus sering mengalami yang namanya gak kerender untuk beberapa gedung, dan bahkan buka map aja harus di tahan dulu. Jd untuk developer dimohon untuk memperbaiki bug ini. Dan bintang yg bisa saya kasih hanya 4 karena hanya bug itu yg saya alami. edit : disaat cutscene sering yg namanya framedrop begitu juga saat cutcene ulti di battle",Netral
Tyasto Prima Ahmadi,5,2/28/2024 3:05,"Klo ga bisa skip dialog, minimal ada skip typing. Story-nya juga riang gembira, yeay!",Positif
Syauki Nazzarudin,1,2/12/2024 11:45,"Saya kasih bintang satu dulu soalnya baru mulai download ulang sudah ada banyak masalah mulai dari ngelag, suara yg kresek2, sampai glicth grafis yg membuat backgroundnya hilang jadi tolong diperbaiki secepatnya dan kalau bisa kasih solusinya dong",Negatif
J a h u t,5,2/6/2024 2:13,"Berharap HSR dibuatkan cloud juga seperti GI, karena nih game agak berat untuk mobile. Kalo bisa juga dibuat fitur seperti GI yg bisa hapus data terdahulu, biar ringan dikit sizenya.",Positif
Masayu Haura Al-Haqqu,3,2/11/2024 0:47,"Update kali ini bagus banget, cuma kenapa ya akhir-akhir ini sering force close? Dibilang perangkat ga cukup juga engga, memori masih banyak dan main game Hoyoverse yang lain lancar aja. Sinyal juga jadi lebih parah, padahal buka game yang lain juga lancar aja. Tolong diperbaiki, ini mengganggu kenyamanan dalam bermain. Terima kasih.",Netral
rhmn uchiha,4,2/7/2024 0:17,"ada kendala untuk versi 2.0 sekarang, saat mau memasuki pertandingan/pertempuran kadang aplikasi keluar sendiri, mohon perbaikannya.",Positif
Ikta Solork,3,2/13/2024 5:35,"Saya sebenarnya cinta sekali dengan game ini, tapi saya mohon pihak mihoyo, tolong optimalkan game ini di infinix note 30, saya main game ini lancar² saja tidak ada lag, tapi terkadang suka force close tanpa sebab, dan untuk login kerap kali gagal dan harus menutup tap gamenya dan masuk lagi untuk berhasil, saya sangat merasa tidak nyaman terlebih saya sangat menyukai game ini.",Netral
Me.,5,2/11/2024 11:32,"Buat yang bilang story nya ampas, nggak sepenuhnya salah si. tapi menurutku yang bagus dari star rail itu story quest karakternya yang bener-bener masterpiece.",Positif
