userName,score,at,content
dewi karsel dekarsel,5,2024-02-06 00:54:12,"Saya bukan pecinta game, tapi ketika saya coba² download game ini.. aku jadi suka game. Tampilannya suka banget aku, karakter, cerita nya, dan baru masuk udah dikasih hadiah.. kekurangan nya game ini harus dipasang di hp yg ram nya 4 ke atas.. kalo enggak bakalan ngenlag parah.."
Azka Zakiyyan,4,2024-03-05 22:09:36,"Game nya emang bagus tapi masih cukup berat untuk game turn based open world yang tidak terlalu bebas seperti genshin banyak masalah seperti saat jaringan kita itu jelek dan itu saat kita sudah selesai pertarungan layar jadi hitam dan itu harus relog lagi game nya, lobi game terlalu berat di banding genshin, saya harap game ini update selanjutnya bisa lebih optimal lagi untuk spek hp menengah"
Yasmin Najwa,4,2024-02-26 10:39:39,"Untuk game nya bagus, seruu lagi. Ga pernah bosen main ini game. Tapi minusnya cuman satu, gabisa mabar/ Co-op 😭. Semoga next update ada mode Co-op/mabar. Tapi temen kita gausah ngebantu apa apa, kayak cuman main main aja gituu, siapa tau bisa bikin konten hehee. Kayak punya server sendiri buat Co-op/mabar, biar seru aja. Pliss mihoyo adain mode Co-op di honkai"
Muhammad Nagif,5,2024-03-13 13:30:27,"Game bagus dan menarik dari segi grafik dan detail karakter yang baik, cuma untuk misi tolong developer ditambahkan lebih banyak supaya g bosen sambil nungguin sambungan story nya"
Fela Madiun,5,2024-03-11 09:30:07,Walaupun game ini offline setidaknya bisa dapat banyak hadiah dari menyelesaikan quest menurutku cocok kalo di kasih bintang 5 tapi kalo mau download data seharusnya bisa di tunda dulu karena datanya banyak dan bisa boros baterai mohon ditambah fitur baru dari download data🙏🙏
WindTrash,4,2024-01-23 13:52:03,"Semua mekaniknya bisa dikemas rapi dan unik, salah satu contohnya itu sistem role dan elemen yang berbeda dari game turn based lain, itu merupakan hal paling gua suka dari game ini. Cuma kekurangannya satu, gak ada tombol skip dialog cok! Kalo ngerjain side quest yang numpuk, bosen+ngantuk pas bagian dialognya. Kalo bisa tambahin lah tombol skip dialog, seenggaknya di side quest ditambahin lah jadinya kalo login cuma mau ngerjain side quest tuh gak makan banyak waktu."
Anisa Ari T,4,2024-02-02 09:12:44,"Addicted banget sama game ini, gameplaynya cocok buat diriku yang gak begitu pengen ribet intinya gampang dipahamin. Kurangnya cuma satu, tolong developer kasih TOMBOL SKIP DIALOG 😭 kadang ada dialog yg harus tunggu selesai baru bisa di next, ada yg bisa langsung di next. Mungkin salah satu improvementnya itu ya. Soalnya ada juga yg kayak aku fokus di gamenya, bukan storynya karna panjang banget yg ada selama main waktu habis di story doang 😭"
azzam haidar,4,2024-02-25 08:59:00,Story ok character juga ok overall aku suka sih sama game ini kalo bisa tambahin tombol skip dialog biasanya ada dialog yang lama bgt tapi harus nunggu dialog nya sampai selesai tapi overall game nya bagus dan aku suka dan masih ada beberapa bug yang belum di fix semoga di fix ya😁
Pur Endri,2,2023-12-27 06:46:15,"saat Cutscene fps tiba"" drop,ntar itu masalah jaringan/server/device saya sendiri,tapi saat bermain game sebelah yaitu ""genshin impact"" yg mana game itu lebih berat,saat Cutscene nya tidak ada frame drop sama sekali. jadi jika ini adalah kesalahan dari pihak developer/server semoga cepat di perbaiki.sekian terimakasih"
JuliRSmh,3,2024-02-29 13:26:52,"Seru gamenya mint,animasi bagus,kontennya banyak,tapi cutscene hampir semua ngeleg parah ampe suaranya annoying banget kalo pake headset,please banget segera difix atau kasih solusi capek uy kadang story udah masuk dalem bikin mood ilang"
FARIZ44,3,2024-02-29 11:49:04,"ini entah bug atau memang renderingnya yang bermasalah, ini bukan patah2 lagi, bahkan sampe force close terus menerus, prasaan saya main minecraft genshin impac dan game2 berat lainnya lancar2 saja, masa main game ini yang hanya sekitar 2-3 GB saja kaya berat banget."
Stenly Gunawan,5,2024-03-13 10:33:49,"Gameplay dan story benar' sangat bagus, new player/pemain baru sangat diperhatikan oleh developer agar dapat bermain dan mempermudah mendapatkan karakter yang disukai oleh palyer, saya berharap kedepannya dan seterusnya developer Honkai Star Rail lebih meriah dan memberikan hadiah spesial bagi para semua pemain agar tetap setia bermain, dihari perilisannya berharap diberikan hadiah spesial berupa karakter choice atau tiket gratis dengan menyelesaikan mission."
Sux .,5,2024-03-17 11:12:43,"SERU BANGET😭 KUKASIH NILAI 1000/100 BUAT GAME INI,dimulai dri desain karakter yg bagus2,desain map jg bgs, map luas bs pindah sana sini,cutscene jg bagus, npc jg cukup oke,story menarik, ada teka tekinya jg itupun ga trllu rumit,clue teka tekiny jg mdh dipahami,maen game yg ad teka tekiny yg agk rumit tuh klo bs kelarin teka tekiny sndirian tnp bntuan rasany lega bgt,ni game bagus bgt smpe bingung gua mw blg kekurangan dri game ini😭yg suka game story puzzle,kalian harus coba,sebgs ini cma 15gb"
Aulia Ardila Rahmadini,5,2024-03-06 23:23:33,"Orang pada ngeluh update dimana game jd ngecrash dan sejenisnya, tapi menurutku gk ada masalah selama aku bermain di patch terbaru, grafik ultra lancar jaya, aku juga suka dengan konten di update sekarang dan terimakasih untuk Acheron E3 nya yg kudapat dr tiket gratis"
A. Zakariya Septiadi,5,2024-03-04 13:03:00,"Untuk gameplay dan grafis sangat bagus dan juga desain karakter nya juga sangat bagus, cuma untuk mendapatkan karakter Bintang 5 itu sangat sulit jadi tolong dipermudah untuk mendapatkan karakter bintang 5"
Syifa Auliasari,4,2024-03-22 07:16:17,"Dari segi story bagus keren apalagi pas adegan perang nya,tetapi kenapa kadang pas pengen naikin level karakter tiba2 ngfreeze?,gatau kenapa tiba2 ngfreeze sendiri,kadang kesel tiba2 ngfreeze:("
Zaskia Ramadani,2,2024-03-14 04:11:15,Sebenarnya untuk game play nya bagus hanya saja semenjak update 2.0 sering sekali terjadi bug dan ngefreze juga patah patah mohon untuk segera di perbaiki
Saiful Bahri,4,2024-02-24 14:42:28,"Hoyoverse Saya ada sedikit saran untuk patch 2.1 nanti, yaitu adalah mengubah animasi ultimate Seele yang seperti animasi ultimate karakter bintang 4 bukan seperti karakter bintang 5 lainnya seperti Black Swan, Jing Yuan, Argenti dan lainnya. Jadi tolong ubah atau perbaiki animasi ultimate Seele🙂"
Sahara Septiana,2,2024-03-22 21:30:46,"Saya sudah mendownload data aplikasinya yang terjadi selanjutnya adalah loading screen yang tidak kunjung habis saya telah menunggu 30 lebih lamanya namun tidak terdapat perubahan, internet saya pun stabil, apakah memang seperti ini? Atau tidak?"
Sectio Angger,4,2024-02-27 23:41:05,"Kenapa ya, akun saya tiba-tiba hilang, biasanya akun hoyoverse ada riwayat loginnya, ini tidak ada (hilang) udh dikaitin ke fb dan Google pun kalau masuk lagi malah ngulang ke prolog cerita... Mohon bantuannya pihak game 🙏🏻"
Finally Z,1,2024-03-14 08:34:32,"Bintang satu untuk versi sekarang,setiap pertempuran hp sering mengalami freeze dan tidak bisa pulih membuat saya harus relog lagi. Hal ini terjadi pada teman saya juga, dia juga mulai mengalami hal ini di versi sekarang, diversi sevelumnya kami tidak pernah mengalami hal ini. Semoga pihak hoyo segera memperbaiki masalah ini!!!!"
Ucing_ Oreen29,1,2024-03-18 15:52:47,Ngabisin data doang ini mah tiap kali download data ampir 1GB pasti keluar sendiri pas masuk lagi eh malah ngulang lagi dari awal dan sekarang makin ngelunjak padahal saya sudah ngorbanin beberapa apl dan video yg mau saya edit (ini yg kedua kalinya saya download ni apl moga² berhasil tapi tetap gagal juga 😩) lain kali saya coba lagi moga² berhasil karena kuota saya sekarat 🙏
nano nina,1,2024-03-20 16:32:29,"terdapat bug login yaitu jaejngan berputar terus padahal untuk melakukan apapun lancar. sudah mencoba beragam koneksi tetapi sama saja, hanya stuck loading login"
FALL,1,2024-03-18 01:05:03,"Kekurangan dalam honkai star rail tidak banyak,tapi tolong di perbaiki masalah cut scene yang sering kali terjadi frame drop,"
Satria new Game,5,2024-03-10 08:58:16,"Permisi untuk pihak developer. Tolong perbaiki bug yang terjadi di device saya yang dimana bug tersebut terdapat suara yang mengganggu saya saat menikmati scene cerita yang diberikan Edit: (mantap lur game baik, full senyum)"
Reta Purba,1,2024-02-25 08:47:40,"Game ini berbeda dengan genshin impact. Meskipun akun gw jarang lucky gachanya dan ada fitur auto battle, tapi setiap update selalu ada free 10 pull dan stellar jade saat nonton livestream. Size game gede. Konten end game sangat susah bahkan low spender + player lama juga masih kesulitan. Karakter baru selalu overpowered dan entah kapan general jing yuan rerun. Tapi developer janji memberikan 1 karakter b5 terbaru secara gratis, ini lah alasan saya main lagi. Banyak minus lain tapi ya sudahlah."
Angga Adi Sabowo,1,2024-03-21 14:22:55,"Developer tolong dong perbaiki, saya login selalu ""terlalu banyak meminta, coba lagi sesaat"" Error kah server nya?, bantu Developer untuk kasih solusi atau perbaikan gamenya"
Idris Maulana,3,2024-02-18 19:12:03,Saya sebagai pemain yang baru bermain blm sampai 2 Minggu apa benar untuk kapasitas totalnya sampai 18gb? Dan setelah saya download full masalah dari pemutusan server dan sering keluar sendiri itu membuat saya gak nyaman bermain mohon developer dicek dan diperbaiki
Muhamad Rantau Gangga Wiguna,5,2024-02-26 07:29:08,"Saya menulis untuk melaporkan masalah yang saya alami ketika mencoba masuk ke akun saya di Honkai Star Rail. Meskipun mencoba jaringan yang berbeda, saya masih tidak dapat mengakses akun saya. Saya sudah memeriksa koneksi internet saya dan mencoba beberapa langkah pemecahan masalah, namun sayangnya, masalah masih berlanjut."
Muza Mazin,4,2024-03-05 06:53:57,"Game ini sangat memuaskan saya. Tapi entah kenapa sekarang ini sering ngebug game nya tiba-tiba gambar nya hilang dan nyangkut serta tidak bisa di pencet, sekian dari saya tanks mihoyo."
Dylan Zheng,5,2024-03-22 10:54:34,Saya sangat suka sekali gameplay game ini. Sangat seru saat bertarung dan juga terdapat banyak sekali hadiah untuk pemula dan juga Sepuh. Terimakasih Hoyoverse untuk membuat game ini. FYI:Saat kita download game ini kita bisa mendapat 5 star gratis yaitu dr ratio. Saya menggunakan Handphone Redmi note 12 dengan chipset snapdragon 685 dan ram 8 gb
Febrian Pratama,3,2024-03-01 06:26:19,Game sampah bug dimana-mana untuk handphone dari blackskren terus stuk chat NPC quest. Mending tutup dulu dan benerin. Semakin lama main semakin banyak ketemu bug. 1 bulan gak dibenahin dalam waktu 3 bulan setelah OBT yakin bakal clossing.
Ferize,3,2024-03-11 22:01:37,"Gameplay mulai terasa membosankan, saya suka dengan ceritanya & bersemangat untuk memainkannya, tetapi tidak berlangsung lama, setelah semua cerita selesai game ini terasa membosankan, yang ada hanya farming farming dan farming..."
Akun kedua Grisa2312,3,2024-03-14 23:04:45,"Game nya ga ngebosenin, tapi tingkat buat dapetin bintang 5 nya bisa dinaikin ga min? Saya capek ngumpulin Stellar nya eh dapetnya bintang 4 mulu, bintang 5 nya dapet yg standar, tolong ya min, gw bener bener minta tolong."
Hamizan Jaris,5,2024-03-13 05:57:17,Bagus sekali gamenya disarankan menambahkan event dan story sangat bagus 👍 pokoknya jangan lupa main game honkai star Rail jangan sampe kelewatan event disayangkan sekali jika tidak mendownloadnya karakternya juga mantap 😋
bintang azura,5,2024-03-11 20:11:13,"Game nya bagus dari segi grafil,story,char,dan gameplaynya. Tapi, satu pesan ""lu jangan bikin gw nangis mulu hoyo, waifu gw di jadiin mayat kambenk T^T"""
Budi Lakukua,4,2024-03-14 16:23:44,"Game terbaik dengan banyak mini game di dalamnya. Cuman karakternya masih sedikit, mau dapat karakter yang diinginkan harus menunggu beberapa bulan"
Varlan Arvanda,5,2024-02-26 03:53:52,Game nya bagus. Karena game nya bertema Turn Base. Jadi lebih santai saat bermain. Untuk keseluruhan map sudah cukup luas. Teka teki didalam game cukup seru.
Tabibito Susucoklat enak tau,3,2024-03-21 07:28:50,Males banget ada bug setiap masuk ke tantangan keluar nya pasti gak bisa gara gara proses 30100 males banget males berin dong min males jadinya kalau main atau nyelesain quest waktu masuk ke catals juga sama stack terus mucul angka 30100
Mia Shu,1,2024-02-26 18:54:30,Gw baru kali ini kesal banget. Selama ini masih toleransi tapi update kali ini terparah. Kenapa pas mau masuk Echo of War dan misi penacony selalu game crash? Nge lag begitu. Tiba-tiba sinyal hilang terus. Gw cek main mlbb kok lancar bgt. Nonton yt ok. Nonton anime di apk vidio masih ok. Buka apk x masih lancar. Whatsapp juga tak matikan notifikasi. Aplikasi game cuma 2. Notifikasi apk semua mati. Ga ada yg nelpon. Sinyal wifi indihome ok. Ga ada hujan ga ada petir lah ini kenapa anjir. Why?
fadjar suryandarumulya,2,2024-03-15 04:41:24,"data penyimpanan akun tidak tersimpan setelah aku menghapus game ini level sudah jauh malah mulai dari awal , aku memainkan game ini aku pakai akun yang sama capek main game ini membuang waktu alur cerita yang setengah membonsankan😪👎"
Putri Anisa Rahmi TBI,4,2024-03-20 10:57:02,"Layarnya masih sering kebelah gitu (layarnya langsung kacau ga bisa ditekan apa2, bukan layar bagi yang bisa pakai 2 aplikasi sekaligus) gatau kenapa, bisa karena baru update atau ada kesalahan sistem HP 😔"
Riku Sankyuu,5,2024-03-23 13:05:15,"Game nya bagus dan cocok buat yang mageran buat explore game nya wkwkwk, sistem permainan juga simpel dan cerita menarik bansos juga banyak. Sehat sehat game baik"
Fergan Cok,5,2024-02-28 15:52:20,"Kenapa ya setelah update patch 2.0 sering sekali terjadi stuck di animasi skill atau pun ultimate padahal sebelum patch kali ini tidak pernah stuck, tolong di perbaiki dong"
Ali Ubaidin,3,2024-03-10 14:13:42,Game nya sudah bagus tapi sayangnya pada saat download Data nya lag parah padahal wifi dirumah masih lancar tolong diperbaiki lagi ya agar tidak menghambat permainan
Ridwan Wasabi,4,2024-03-22 02:28:32,"Game sangat seru. Hanya saja entah game terlalu berat sehingga belum lama dimainkan, suhu HP sudah sangat panas. Meskipun game dijalankan dengan grafik yang sangat rendah."
Kariim Jafarrasiq Nara Pernama,5,2024-02-14 05:21:44,"Gim baik, tapi game turn base gacha tuh emg berat karena yang namanya turn base itu pasti musuhnya bermacam² tipe, nah buat nye imbangi lawan musuh² jadi perlu tipe yang sesuai dan caranya ya gacha character wkwkwk."
Jessica Putri,5,2024-03-04 03:43:10,Udah and game nuggu episode yg ke dua..bosen tiap hari jalanin quest aj..alur cerita kelanjutan serta misi udah berhenti belom lawan whactmaker nuggu episode yg ke dua..kpn rilis nya..kekurangan dari game ini terlalu bnyak gobrol nya..gk ada tombol skip..serta harus nuggu 1 miggu sekali cari drop item bos..itupun cuma di batasin 3x gk sebanding dengan carakter yg hampir 25 an..apalagi mau roll gonta ganti karater harus lv up skill semua butuh 1 miggu itu pun cuma satu carakter yg bisa
Eagle Dark,1,2024-03-06 04:45:15,"Semenjak update 2.0 jadi sering ngefreze saat battle,sama kadang kadang juga force close sendiri, padahal udah rata kiri, sedangkan Genshin dengan grafis medium atau bahkan tinggi masih lancar saja"
Gikku Kopakki,2,2024-03-11 10:40:10,"Banyak bug/crash dalam game padahal sinyal bagus sama kapasitas memori masih banyak, tolong lah di benerin bug² nya biar tambah nyaman mainnya."
BLOOOF,5,2024-02-25 23:31:34,"Game nya sangat seru,explorasi tidak terlalu susah,puzzle nya trap nyaman untuk di mainkan meski kadang bikin bingung,lore mungkin lebih di perjelas siapa antagonis nya? Hadiah gratis dri setiap patch&update benar"" sangat membantu kami para player,saya menantikan anniversary pertama HSR~"
Pentamof,3,2024-03-06 05:03:35,"Kenapa terasa lebih berat ini daripada genshin, padahal secara gameplay genshin lebih berat, namun di hp saya lancar, di hsr malah lebih sering framedrop, tolong diperbaiki apalagi saat di loading screen kereta, lag parahhh"
Muhammad Taufik,4,2024-03-06 01:16:08,"Saya cukup suka Game Honkai Star Rail ini, hanya saja saya ingin bisa menguraikan relic yang sudah memiliki penguatan tidak harus lv 0 saja yang bisa diuraikan. Buat pemain pemula saya rasa ini pepengaruh karena kita bisa aja asal menaikan relic yang tidak diperlukan. Saya ingin bisa mengatur penyimpanan relic dengan baik yang memiliki batas penyimpanan 1500."
Gracio Kiryoma,3,2024-03-07 14:52:07,"Bagus game nya tapi ini masalahnya nih di update data nya ulang ulang, tadi udah bisa main tapi di pindah kan ke update data mulu gk abis abis"
Daffa Fauzan Rahmatyar,4,2024-02-12 00:03:35,"setelah update penacony 2.0. game nya jadi lebih berat, bahkan jadi sering forced close. apalagi ketika animasi memasuki battle. tolong lah hoyo, diperbaiki"
Khalifah Lubis,4,2024-02-22 14:22:09,"Permisi, ada alasan mengapa saya memberi bintang 4 hal ini dikarenakan adanya bug yang dimana setelah saya mendapatkan karakter bintang 5 (bailu) dan mencoba trial, saat di pilihan karakter, karakter bintang 5 (bailu) tidak ada disana, saya sangat mohon untuk pihak honkai star rail dapat merespon, agar player lain tidak mengalami hal yang sama. Terimakasih"
ferdinan rahman,1,2024-02-06 22:17:42,Sistem relic yang buruk (sudah 1 bulan kurang lebih farm relic untuk argenti tapi yang jadi hanya kepala dan badan itu pun belum maksimal 240 trailblazer power itu masih kurang kah untuk 1 hari?) dan synthesis khusus relic yang sangat tidak berasa (3000+ relic remains gak ada satu pun yang mengarah ke cr atau cdm untuk karakter dps)
Pahan K,5,2024-03-02 09:39:03,"gameplay santai,animasi keren abis,story mantap,developer sangat murah hati dalam memberikan bansos menjadikan game ini ramah untuk f2p,kek beneran mengapresiasi playernya yang udah spend time main game mereka. game yang sangat mantap untuk orang yang bosen dengan gameplay mainstream. kekurangannya mungkin gamenya bisa lebih dioptimized lagi karena untuk ukuran game turn based ini lumayan berat,hampir kek genshin impact. ganyesel pokoknya main ini game. i love you game baik"
Ayla Azzura,4,2023-12-27 00:51:07,"Suka banget sama game nya, alurnya bagus, apalagi grafisnya, wuuuh jooos banget. Cuma kalau bisa di permudahkan lagi cara dapat karakter bintang 5 nya dan juga saya agak kesulitan untuk menaikkan level krn biaya cradit nya semakin mahal dan mengumpulkan material memakan waktu yg lama. Ini kalau di stasiun herta punya saya kok ada beberapa tempat yg agak kaku gitu jalannya(agak lemot) apa gara"" HP saya ya? Perasaan memori internal masih banyak loh🥲"
Septiyar ahya moslem,3,2024-03-21 23:36:41,Saya ada keluhan sedikit sya tidak bisa login hsr ada pesan khusus pesan eror distribusi global jaringan saya disini bagus dan stabil tapi tetap tidak bisa login
No NAME,3,2024-03-12 10:56:46,Frame drop pas awal masuk di animasi luar angkasanya + tambahin fitur skip dialog kek game2 lain nungguin dialog selesai karena ngebug gak bisa dipercepat
Annisa ShinTyas,4,2024-02-29 17:35:42,Gamenya baguss banget tapi kenapa dihp saya ada glitch atau bug ya? Langit-langitnya jadi aneh gitu padahal kalo main genshin selalu lancar..
22. Rizki Kusuma,3,2023-12-29 06:16:30,"Diawal perilisan game ini emang lancar mainnya. Cuman pas di update yg terbaru alias di update Silver Wolf ini entah kenapa jd agak berat terus sering mengalami yang namanya gak kerender untuk beberapa gedung, dan bahkan buka map aja harus di tahan dulu. Jd untuk developer dimohon untuk memperbaiki bug ini. Dan bintang yg bisa saya kasih hanya 4 karena hanya bug itu yg saya alami. edit : disaat cutscene sering yg namanya framedrop begitu juga saat cutcene ulti di battle"
Tyasto Prima Ahmadi,5,2024-02-28 03:05:34,"Klo ga bisa skip dialog, minimal ada skip typing. Story-nya juga riang gembira, yeay!"
Syauki Nazzarudin,1,2024-02-12 11:45:33,"Saya kasih bintang satu dulu soalnya baru mulai download ulang sudah ada banyak masalah mulai dari ngelag, suara yg kresek2, sampai glicth grafis yg membuat backgroundnya hilang jadi tolong diperbaiki secepatnya dan kalau bisa kasih solusinya dong"
J a h u t,5,2024-02-06 02:13:23,"Berharap HSR dibuatkan cloud juga seperti GI, karena nih game agak berat untuk mobile. Kalo bisa juga dibuat fitur seperti GI yg bisa hapus data terdahulu, biar ringan dikit sizenya."
Masayu Haura Al-Haqqu,3,2024-02-11 00:47:58,"Update kali ini bagus banget, cuma kenapa ya akhir-akhir ini sering force close? Dibilang perangkat ga cukup juga engga, memori masih banyak dan main game Hoyoverse yang lain lancar aja. Sinyal juga jadi lebih parah, padahal buka game yang lain juga lancar aja. Tolong diperbaiki, ini mengganggu kenyamanan dalam bermain. Terima kasih."
rhmn uchiha,4,2024-02-07 00:17:47,"ada kendala untuk versi 2.0 sekarang, saat mau memasuki pertandingan/pertempuran kadang aplikasi keluar sendiri, mohon perbaikannya."
Ikta Solork,3,2024-02-13 05:35:44,"Saya sebenarnya cinta sekali dengan game ini, tapi saya mohon pihak mihoyo, tolong optimalkan game ini di infinix note 30, saya main game ini lancar² saja tidak ada lag, tapi terkadang suka force close tanpa sebab, dan untuk login kerap kali gagal dan harus menutup tap gamenya dan masuk lagi untuk berhasil, saya sangat merasa tidak nyaman terlebih saya sangat menyukai game ini."
Me.,5,2024-02-11 11:32:10,"Buat yang bilang story nya ampas, nggak sepenuhnya salah si. tapi menurutku yang bagus dari star rail itu story quest karakternya yang bener-bener masterpiece."
Chrismario,3,2024-02-13 03:23:31,"Bagus aja gamenya rata"" game rpg anime open world tapi yang ngeselinnya buat player mobile yg spek hpnya menengah kebawah, itu ngeselin banget kalo mau download bahasa lain, soalnya kalo pas buka apk lain/ pas matiin hpnya pasti kestop kalo gak kereset, ini tolong dibenerin lah saya juga mau nikmatin yg bahasa yg lain juga."
